national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url,inverse_fifa,norm_fifa,norm_value,team_rating
15351,Nicaragua,nicaragua,121,Nicaragua,CNIC,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/121.png?lm=1520611569,23,27.6,5,21.7,2580000,,131,2025,https://www.transfermarkt.co.uk/nicaragua/startseite/verein/15351,81,0.380952380952381,0.0010434462032712206,0.15300702010291511
15357,Singapore,singapore,153,Singapore,SIN1,AFC,https://tmssl.akamaized.net//images/flagge/head/153.png?lm=1520611569,27,27.7,8,29.6,3930000,,147,2025,https://www.transfermarkt.co.uk/singapore/startseite/verein/15357,65,0.3047619047619048,0.0019321858716725756,0.12306407342776546
15363,Chinese Taipei,chinese-taipei,164,Chinese Taipei,TFPL,AFC,https://tmssl.akamaized.net//images/flagge/head/164.png?lm=1679300082,23,26.3,9,39.1,1920000,,174,2025,https://www.transfermarkt.co.uk/chinese-taipei/startseite/verein/15363,38,0.1761904761904762,0.0006089512542750024,0.07084156122875548
15737,Jordan,jordan,78,Jordan,JO1L,AFC,https://tmssl.akamaized.net//images/flagge/head/78.png?lm=1520611569,26,27.1,15,57.7,15980000,,63,2025,https://www.transfermarkt.co.uk/jordan/startseite/verein/15737,149,0.7047619047619048,0.00986501031925504,0.28782376809631494
15738,Malaysia,malaysia,103,Malaysia,MYS1,AFC,https://tmssl.akamaized.net//images/flagge/head/103.png?lm=1520611569,28,28.5,4,14.3,7150000,,138,2025,https://www.transfermarkt.co.uk/malaysia/startseite/verein/15738,74,0.34761904761904766,0.0040519945622298804,0.141478815784957
15977,Hong Kong,hong-kong,218,Hongkong,HGKG,AFC,https://tmssl.akamaized.net//images/flagge/head/218.png?lm=1520611569,23,28.5,9,39.1,3600000,,155,2025,https://www.transfermarkt.co.uk/hong-kong/startseite/verein/15977,57,0.2666666666666667,0.0017149383971744665,0.10769562970497137
16038,Cambodia,cambodia,79,Cambodia,KHM1,AFC,https://tmssl.akamaized.net//images/flagge/head/79.png?lm=1520611569,23,25.6,1,4.3,2380000,,177,2025,https://www.transfermarkt.co.uk/cambodia/startseite/verein/16038,35,0.1619047619047619,0.0009117810672117603,0.06530897340223182
16423,Myanmar,myanmar,116,Myanmar,MYA1,AFC,https://tmssl.akamaized.net//images/flagge/head/116.png?lm=1520611569,23,25.9,6,26.1,3100000,,158,2025,https://www.transfermarkt.co.uk/myanmar/startseite/verein/16423,54,0.25238095238095243,0.0013857755570258166,0.10178384628659647
16430,Comoros,comoros,35,Comoros,COM1,CAF,https://tmssl.akamaized.net//images/flagge/head/35.png?lm=1520611569,21,23.9,21,100.0,3280000,,109,2025,https://www.transfermarkt.co.uk/comoros/startseite/verein/16430,103,0.48571428571428577,0.0015042741794793306,0.19518827879340192
16431,Laos,laos,91,Laos,LAO1,,https://tmssl.akamaized.net//images/flagge/head/91.png?lm=1520611569,23,23.1,2,8.7,1300000,,185,2025,https://www.transfermarkt.co.uk/laos/startseite/verein/16431,27,0.12380952380952383,0.00020078933249067653,0.04964428312330394
